,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,732.0,2323.0,3435.0,4565.0,5749.0,6913.0,7875.0,8808.0,9836.0,10908.0,11896.0,12933.0,17150.0,14018.0,16136.0,15089.0,22349.0,23264.0,21447.0,18164.0,20230.0,19199.0,30502.0,31725.0,28182.0,27074.0,29313.0,1.0,32671.0,33661.0,25163.0,26142.0,24195.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0
SAM_control,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0
SAM_control,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,5.0,1.0
thumbs_up_down,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0
TLX_mental,0.0,0.0,0.0,0.0,0.0,4.0,8.0,11.0,19.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,17.0,19.0,19.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,15.0,8.0,0.0
TLX_physical,0.0,0.0,0.0,0.0,0.0,4.0,8.0,11.0,19.0,15.0,19.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,17.0,17.0,19.0,19.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,15.0,6.0,0.0
TLX_temporal,15.0,4.0,5.0,4.0,9.0,6.0,9.0,3.0,11.0,1.0,19.0,8.0,4.0,3.0,11.0,18.0,14.0,9.0,5.0,11.0,11.0,18.0,6.0,4.0,4.0,5.0,1.0,4.0,6.0,9.0,11.0,15.0,0.0
TLX_performance,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_effort,2.0,0.0,0.0,8.0,0.0,4.0,10.0,8.0,17.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,4.0,17.0,11.0,19.0,10.0,4.0,6.0,2.0,0.0,0.0,8.0,17.0,17.0,11.0,0.0
TLX_frustration,0.0,19.0,8.0,5.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,13.0,15.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,14.0,2.0,4.0,1.0,0.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,3.0,5.0,3.0,3.0,2.0,4.0,7.0,6.0,13.0,11.0,15.0,3.0,3.0,4.0,2.0,4.0,9.0,5.0,6.0,13.0,13.0,15.0,6.0,2.0,4.0,2.0,1.0,1.0,6.0,10.0,12.0,9.0,0.0
