,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,642.0,1920.0,3032.0,4195.0,5328.0,6499.0,7466.0,8485.0,9541.0,10519.0,11507.0,12546.0,16804.0,13669.0,15779.0,14762.0,22140.0,23125.0,21224.0,17786.0,19833.0,18854.0,30160.0,31091.0,28143.0,27109.0,29175.0,33773.0,32000.0,32997.0,25064.0,26012.0,24097.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0
SAM_control,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0
SAM_control,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0
thumbs_up_down,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0
TLX_mental,0.0,8.0,11.0,2.0,3.0,14.0,17.0,19.0,11.0,19.0,14.0,3.0,6.0,2.0,5.0,8.0,17.0,11.0,13.0,13.0,10.0,6.0,11.0,10.0,10.0,3.0,8.0,16.0,5.0,3.0,11.0,10.0,10.0
TLX_physical,2.0,7.0,14.0,0.0,12.0,12.0,12.0,14.0,14.0,19.0,17.0,11.0,10.0,8.0,2.0,7.0,19.0,12.0,18.0,11.0,10.0,7.0,10.0,12.0,12.0,4.0,8.0,14.0,5.0,2.0,10.0,12.0,7.0
TLX_temporal,12.0,13.0,10.0,7.0,6.0,12.0,10.0,15.0,9.0,18.0,19.0,7.0,9.0,1.0,9.0,10.0,0.0,15.0,7.0,7.0,10.0,7.0,12.0,6.0,10.0,4.0,12.0,0.0,7.0,4.0,10.0,9.0,10.0
TLX_performance,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_effort,0.0,10.0,9.0,9.0,10.0,16.0,19.0,17.0,14.0,14.0,16.0,9.0,3.0,3.0,3.0,3.0,19.0,10.0,14.0,16.0,10.0,9.0,9.0,12.0,12.0,7.0,5.0,10.0,3.0,0.0,10.0,12.0,9.0
TLX_frustration,3.0,0.0,1.0,5.0,3.0,9.0,6.0,8.0,3.0,4.0,0.0,5.0,0.0,9.0,1.0,0.0,15.0,0.0,19.0,6.0,3.0,3.0,0.0,5.0,4.0,13.0,0.0,18.0,4.0,4.0,0.0,4.0,1.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,3.0,8.0,9.0,5.0,7.0,12.0,13.0,15.0,10.0,15.0,13.0,7.0,6.0,5.0,4.0,6.0,14.0,10.0,14.0,11.0,8.0,6.0,8.0,9.0,9.0,6.0,7.0,12.0,5.0,3.0,8.0,9.0,7.0
