,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,411.0,2057.0,2342.0,3549.0,4827.0,6060.0,7293.0,8384.0,9489.0,10725.0,11887.0,14012.0,18677.0,15190.0,17552.0,16405.0,23983.0,25033.0,22924.0,19727.0,21875.0,20819.0,33183.0,34266.0,30897.0,29600.0,32035.0,37253.0,35218.0,36198.0,27259.0,28432.0,26150.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0
SAM_control,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0
SAM_control,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0
thumbs_up_down,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0
TLX_mental,0.0,0.0,11.0,14.0,13.0,14.0,14.0,15.0,8.0,14.0,9.0,14.0,6.0,18.0,4.0,0.0,4.0,0.0,15.0,13.0,0.0,8.0,4.0,13.0,19.0,0.0,6.0,13.0,14.0,0.0,11.0,8.0,11.0
TLX_physical,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,11.0,11.0,14.0,12.0,13.0,11.0,14.0,13.0,13.0,17.0,11.0,13.0,7.0,11.0,11.0,11.0,11.0,11.0,18.0,11.0,6.0,11.0,7.0,14.0,19.0,11.0,8.0,11.0,10.0,11.0,8.0,0.0,11.0
TLX_performance,8.0,8.0,11.0,6.0,8.0,4.0,8.0,10.0,0.0,3.0,6.0,9.0,10.0,3.0,14.0,11.0,10.0,15.0,3.0,6.0,11.0,15.0,16.0,19.0,11.0,11.0,11.0,10.0,8.0,13.0,14.0,11.0,13.0
TLX_effort,0.0,0.0,15.0,15.0,16.0,13.0,13.0,15.0,6.0,13.0,9.0,9.0,9.0,19.0,5.0,6.0,9.0,4.0,14.0,13.0,8.0,11.0,6.0,14.0,14.0,8.0,8.0,10.0,11.0,10.0,8.0,11.0,11.0
TLX_frustration,0.0,0.0,13.0,15.0,13.0,9.0,0.0,0.0,6.0,6.0,11.0,5.0,6.0,19.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
TLX_enjoyment,12.0,16.0,7.0,7.0,10.0,12.0,12.0,12.0,13.0,13.0,12.0,7.0,12.0,1.0,10.0,14.0,14.0,15.0,10.0,13.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,11.0,10.0,5.0,6.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,1.0,10.0,8.0,10.0,10.0,10.0,10.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,4.0,4.0,13.0,13.0,12.0,10.0,10.0,11.0,7.0,10.0,9.0,10.0,8.0,14.0,7.0,6.0,7.0,6.0,13.0,8.0,5.0,9.0,7.0,12.0,13.0,6.0,7.0,9.0,9.0,7.0,8.0,6.0,9.0
