,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,631.0,2192.0,3632.0,5211.0,6774.0,8246.0,9522.0,10775.0,11992.0,13340.0,14482.0,15889.0,21515.0,17434.0,20271.0,18928.0,28039.0,29317.0,26724.0,22745.0,25114.0,23945.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33169.0,34389.0,32365.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAM_control,2.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAM_control,5.0,4.0,3.0,4.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
thumbs_up_down,3.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TLX_mental,0.0,4.0,8.0,6.0,12.0,13.0,15.0,19.0,12.0,14.0,11.0,11.0,6.0,17.0,11.0,4.0,15.0,13.0,19.0,18.0,17.0,18.0,13.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLX_physical,0.0,3.0,7.0,4.0,11.0,11.0,15.0,19.0,13.0,15.0,8.0,14.0,7.0,13.0,8.0,5.0,8.0,8.0,18.0,14.0,14.0,16.0,8.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLX_temporal,0.0,3.0,10.0,16.0,12.0,17.0,16.0,6.0,8.0,11.0,17.0,16.0,17.0,15.0,18.0,18.0,18.0,19.0,1.0,17.0,18.0,16.0,19.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLX_performance,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_effort,0.0,3.0,11.0,3.0,12.0,12.0,16.0,19.0,12.0,16.0,8.0,5.0,3.0,14.0,5.0,3.0,15.0,16.0,15.0,16.0,14.0,17.0,12.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLX_frustration,0.0,3.0,13.0,6.0,17.0,4.0,13.0,18.0,13.0,14.0,7.0,12.0,5.0,18.0,2.0,0.0,5.0,3.0,17.0,13.0,13.0,12.0,6.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,0.0,3.0,10.0,7.0,13.0,11.0,15.0,16.0,11.0,14.0,10.0,11.0,8.0,15.0,9.0,6.0,12.0,12.0,14.0,15.0,15.0,16.0,12.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
