,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,366.0,2320.0,3873.0,5371.0,7001.0,8424.0,9802.0,10949.0,12425.0,15240.0,17130.0,18325.0,23128.0,19496.0,22013.0,20704.0,29410.0,30509.0,28276.0,24273.0,26736.0,25522.0,39519.0,40826.0,37017.0,35276.0,38341.0,44342.0,42066.0,43220.0,32975.0,34192.0,31784.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0
SAM_control,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0
SAM_control,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0
thumbs_up_down,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0
TLX_mental,2.0,0.0,16.0,7.0,16.0,17.0,16.0,19.0,17.0,16.0,10.0,16.0,5.0,17.0,3.0,3.0,17.0,17.0,17.0,16.0,16.0,17.0,17.0,17.0,19.0,5.0,7.0,16.0,5.0,2.0,17.0,17.0,17.0
TLX_physical,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,0.0,13.0,16.0,10.0,14.0,16.0,14.0,16.0,16.0,16.0,5.0,19.0,13.0,17.0,3.0,2.0,16.0,5.0,16.0,13.0,5.0,14.0,16.0,16.0,16.0,3.0,10.0,16.0,5.0,2.0,16.0,16.0,16.0
TLX_performance,19.0,17.0,0.0,14.0,11.0,8.0,10.0,10.0,1.0,0.0,11.0,11.0,14.0,10.0,14.0,14.0,1.0,5.0,12.0,11.0,11.0,10.0,1.0,2.0,2.0,10.0,13.0,10.0,12.0,13.0,10.0,12.0,4.0
TLX_effort,0.0,0.0,2.0,2.0,2.0,16.0,9.0,2.0,10.0,16.0,3.0,17.0,3.0,16.0,3.0,2.0,16.0,16.0,16.0,10.0,19.0,17.0,16.0,17.0,17.0,3.0,3.0,7.0,5.0,0.0,17.0,19.0,17.0
TLX_frustration,2.0,2.0,16.0,17.0,16.0,16.0,14.0,16.0,17.0,17.0,6.0,14.0,5.0,16.0,3.0,3.0,5.0,10.0,6.0,5.0,5.0,16.0,17.0,17.0,17.0,5.0,3.0,8.0,19.0,0.0,11.0,5.0,16.0
TLX_enjoyment,13.0,16.0,10.0,4.0,8.0,10.0,11.0,10.0,6.0,11.0,13.0,8.0,13.0,4.0,14.0,16.0,7.0,12.0,13.0,13.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,10.0,1.0,2.0,3.0,3.0,9.0,9.0,11.0,6.0,8.0,4.0,8.0,7.0,3.0,11.0,12.0,11.0,11.0,14.0,12.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,4.0,6.0,10.0,10.0,12.0,15.0,12.0,12.0,12.0,13.0,7.0,15.0,8.0,15.0,5.0,5.0,11.0,10.0,13.0,11.0,11.0,15.0,13.0,14.0,14.0,5.0,7.0,11.0,9.0,3.0,14.0,14.0,14.0
