,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,132.0,1630.0,2906.0,4221.0,5196.0,6556.0,7515.0,10248.0,11254.0,12464.0,1.0,13643.0,18555.0,14766.0,17096.0,15895.0,24365.0,25456.0,19448.0,22285.0,20591.0,23479.0,1.0,1.0,30485.0,29182.0,31683.0,1.0,1.0,26586.0,27608.0,26241.0,1.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,3.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
SAM_control,3.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
SAM_control,5.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0
thumbs_up_down,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
TLX_mental,0.0,0.0,0.0,0.0,0.0,11.0,17.0,19.0,16.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,12.0,11.0,11.0,15.0,14.0,14.0,18.0,13.0,12.0,16.0,19.0,19.0,19.0,19.0,19.0
TLX_physical,0.0,0.0,0.0,0.0,0.0,13.0,17.0,8.0,19.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,12.0,13.0,11.0,17.0,11.0,14.0,18.0,1.0,0.0,0.0,0.0,0.0,10.0,5.0,7.0
TLX_temporal,17.0,19.0,19.0,18.0,18.0,8.0,4.0,6.0,6.0,2.0,2.0,18.0,17.0,12.0,11.0,13.0,8.0,8.0,10.0,11.0,8.0,8.0,8.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,7.0,3.0,7.0
TLX_performance,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_effort,0.0,0.0,0.0,0.0,0.0,12.0,15.0,19.0,17.0,15.0,17.0,0.0,0.0,0.0,1.0,3.0,14.0,14.0,11.0,11.0,13.0,16.0,12.0,14.0,16.0,13.0,12.0,15.0,19.0,18.0,19.0,19.0,19.0
TLX_frustration,10.0,1.0,0.0,15.0,11.0,10.0,17.0,19.0,18.0,17.0,17.0,17.0,13.0,15.0,16.0,10.0,12.0,12.0,11.0,11.0,11.0,16.0,16.0,18.0,18.0,15.0,12.0,19.0,19.0,19.0,19.0,17.0,18.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,5.0,4.0,4.0,6.0,6.0,11.0,14.0,14.0,15.0,14.0,14.0,7.0,6.0,5.0,6.0,5.0,12.0,13.0,11.0,11.0,11.0,14.0,12.0,13.0,15.0,8.0,7.0,11.0,11.0,11.0,15.0,13.0,14.0
