,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,221.0,1906.0,3407.0,4884.0,6285.0,7945.0,9256.0,10337.0,11581.0,12822.0,13969.0,15160.0,20057.0,16463.0,18907.0,17716.0,25616.0,26592.0,24577.0,21220.0,23426.0,22356.0,33878.0,34984.0,31618.0,30589.0,32762.0,37881.0,35959.0,37023.0,28729.0,29781.0,27633.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,3.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
SAM_control,2.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
SAM_control,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
thumbs_up_down,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TLX_mental,0.0,13.0,17.0,18.0,19.0,19.0,19.0,13.0,3.0,5.0,12.0,2.0,3.0,19.0,10.0,0.0,13.0,14.0,17.0,15.0,16.0,15.0,3.0,3.0,17.0,3.0,13.0,15.0,10.0,0.0,15.0,16.0,15.0
TLX_physical,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,0.0,16.0,19.0,18.0,19.0,17.0,17.0,12.0,13.0,12.0,15.0,2.0,14.0,19.0,0.0,10.0,14.0,14.0,19.0,17.0,15.0,16.0,0.0,12.0,19.0,0.0,16.0,16.0,10.0,0.0,19.0,16.0,17.0
TLX_performance,8.0,15.0,13.0,17.0,13.0,2.0,0.0,5.0,17.0,14.0,12.0,8.0,14.0,15.0,8.0,19.0,15.0,17.0,7.0,11.0,12.0,11.0,19.0,14.0,6.0,8.0,8.0,8.0,12.0,14.0,8.0,5.0,11.0
TLX_effort,0.0,13.0,13.0,5.0,13.0,13.0,14.0,12.0,3.0,3.0,5.0,10.0,3.0,15.0,0.0,2.0,12.0,7.0,19.0,14.0,13.0,13.0,1.0,5.0,16.0,0.0,10.0,13.0,14.0,0.0,16.0,15.0,17.0
TLX_frustration,0.0,0.0,17.0,13.0,17.0,17.0,17.0,15.0,2.0,2.0,7.0,12.0,0.0,19.0,14.0,0.0,14.0,12.0,14.0,16.0,16.0,16.0,0.0,12.0,16.0,13.0,16.0,15.0,17.0,17.0,17.0,18.0,19.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,2.0,11.0,16.0,14.0,16.0,14.0,13.0,11.0,8.0,7.0,10.0,7.0,7.0,17.0,6.0,6.0,13.0,13.0,15.0,14.0,14.0,14.0,5.0,9.0,15.0,5.0,12.0,13.0,12.0,6.0,15.0,14.0,16.0
