,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,412,2410,3566,4582,5789,7020,8371,9459,10871,12346,12852,14725,18822,15771,17832,16711,24307,25323,23279.0,19830.0,22255.0,21007.0,32616.0,33526.0,31265.0,29681.0,31642.0,36784.0,34720.0,35804.0,27631.0,28864.0,26481.0
Duration,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4,4,3,2,2,3,2,2,3,3,2,1,3,4,4,4,2,4,4.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,4.0
SAM_control,1,3,3,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
SAM_control,4,3,3,3,3,4,3,3,4,3,3,3,3,3,4,5,2,4,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0
thumbs_up_down,3,3,2,2,1,3,2,2,3,2,2,1,2,2,3,3,1,3,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0
TLX_mental,0,11,11,11,11,5,11,11,5,7,2,11,11,11,11,11,11,5,15.0,11.0,11.0,14.0,7.0,4.0,19.0,11.0,11.0,11.0,11.0,11.0,8.0,13.0,8.0
TLX_physical,1,10,10,10,10,1,1,1,1,10,10,10,10,10,1,1,1,1
TLX_temporal,0,11,11,11,11,7,11,15,11,13,4,11,11,11,11,11,8,4,17.0,13.0,6.0,13.0,11.0,7.0,19.0,11.0,11.0,11.0,11.0,11.0,14.0,15.0,7.0
TLX_performance,19,6,6,6,6,13,15,12,6,9,15,6,6,6,6,6,13,19,0.0,16.0,16.0,13.0,15.0,15.0,0.0,6.0,6.0,6.0,6.0,6.0,16.0,16.0,19.0
TLX_effort,0,12,12,12,12,7,12,18,12,15,15,12,12,12,12,12,16,18,18.0,15.0,16.0,19.0,15.0,11.0,19.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,12.0
TLX_frustration,0,12,12,12,12,0,0,5,8,14,0,12,12,12,12,12,0,0,15.0,0.0,0.0,3.0,3.0,1.0,19.0,12.0,12.0,12.0,12.0,12.0,1.0,4.0,1.0
TLX_enjoyment,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,4,10,10,10,10,6,10,12,8,11,7,10,10,10,10,10,10,9,13.0,11.0,10.0,12.0,10.0,8.0,15.0,10.0,10.0,10.0,10.0,10.0,11.0,999.0,999.0
