,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,91.0,1350.0,2540.0,3766.0,4900.0,6178.0,7239.0,8184.0,9241.0,10288.0,11217.0,12302.0,18555.0,16639.0,13372.0,15567.0,14484.0,21663.0,22583.0,20699.0,26712.0,19867.0,29956.0,30957.0,18924.0,17797.0,28636.0,33790.0,31812.0,32855.0,24462.0,25495.0,23443.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0
SAM_control,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0
SAM_control,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0
thumbs_up_down,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
TLX_mental,6.0,17.0,17.0,16.0,16.0,12.0,12.0,16.0,10.0,13.0,13.0,10.0,9.0,13.0,2.0,10.0,12.0,10.0,16.0,10.0,10.0,12.0,10.0,12.0,19.0,7.0,0.0,9.0,11.0,11.0,10.0,13.0,12.0
TLX_physical,0.0,18.0,18.0,17.0,15.0,15.0,15.0,18.0,12.0,18.0,13.0,0.0,12.0,14.0,4.0,11.0,15.0,11.0,17.0,14.0,13.0,13.0,11.0,15.0,19.0,8.0,0.0,10.0,13.0,12.0,12.0,13.0,14.0
TLX_temporal,15.0,13.0,5.0,10.0,14.0,14.0,11.0,8.0,6.0,1.0,0.0,14.0,10.0,12.0,10.0,10.0,13.0,13.0,7.0,5.0,10.0,3.0,10.0,11.0,16.0,7.0,19.0,15.0,8.0,11.0,7.0,7.0,12.0
TLX_performance,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_effort,2.0,14.0,17.0,15.0,12.0,14.0,13.0,14.0,13.0,13.0,11.0,10.0,13.0,13.0,6.0,11.0,14.0,11.0,14.0,13.0,11.0,15.0,11.0,15.0,19.0,8.0,0.0,12.0,12.0,13.0,11.0,13.0,13.0
TLX_frustration,2.0,7.0,17.0,18.0,8.0,11.0,10.0,13.0,16.0,18.0,18.0,5.0,11.0,14.0,15.0,13.0,12.0,10.0,14.0,16.0,13.0,19.0,7.0,15.0,19.0,17.0,0.0,4.0,11.0,11.0,12.0,14.0,12.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,5.0,14.0,15.0,15.0,13.0,13.0,12.0,14.0,11.0,13.0,11.0,8.0,11.0,13.0,7.0,11.0,13.0,11.0,14.0,12.0,11.0,13.0,10.0,14.0,18.0,10.0,4.0,10.0,11.0,11.0,10.0,12.0,13.0
