,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,209.0,2057.0,3945.0,5236.0,7138.0,8836.0,10124.0,11245.0,12442.0,13617.0,14691.0,15850.0,20314.0,16974.0,19146.0,18082.0,25951.0,27001.0,24791.0,21419.0,23640.0,22575.0,34885.0,35891.0,32678.0,31612.0,33766.0,38857.0,36812.0,37831.0,29493.0,30533.0,28042.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,5.0,2.0,1.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,1.0,5.0,5.0,2.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0
SAM_control,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0
SAM_control,3.0,3.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,1.0,5.0,4.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0
thumbs_up_down,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0
TLX_mental,1.0,1.0,2.0,18.0,15.0,15.0,18.0,19.0,13.0,17.0,15.0,11.0,7.0,16.0,11.0,10.0,13.0,15.0,19.0,18.0,13.0,16.0,15.0,17.0,16.0,2.0,11.0,15.0,10.0,4.0,12.0,11.0,11.0
TLX_physical,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,6.0,6.0,3.0,15.0,1.0,10.0,17.0,17.0,13.0,18.0,10.0,4.0,4.0,15.0,6.0,2.0,15.0,13.0,19.0,13.0,10.0,12.0,18.0,18.0,18.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TLX_performance,10.0,10.0,10.0,10.0,10.0,19.0,16.0,18.0,0.0,0.0,17.0,17.0,10.0,10.0,10.0,10.0,0.0,12.0,0.0,4.0,15.0,6.0,5.0,2.0,1.0,10.0,10.0,4.0,10.0,10.0,12.0,12.0,14.0
TLX_effort,1.0,1.0,10.0,10.0,10.0,15.0,19.0,18.0,12.0,11.0,9.0,8.0,10.0,10.0,10.0,10.0,12.0,13.0,16.0,16.0,15.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0
TLX_frustration,10.0,10.0,7.0,16.0,16.0,0.0,15.0,12.0,19.0,19.0,4.0,0.0,12.0,19.0,1.0,1.0,15.0,10.0,2.0,15.0,3.0,16.0,6.0,2.0,17.0,0.0,4.0,19.0,6.0,1.0,10.0,1.0,2.0
TLX_enjoyment,8.0,13.0,1.0,1.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,1.0,18.0,18.0,19.0,19.0,18.0,19.0,19.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,8.0,14.0,15.0,6.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,1.0,18.0,18.0,19.0,19.0,18.0,19.0,19.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,5.0,5.0,6.0,14.0,10.0,12.0,17.0,17.0,12.0,13.0,11.0,8.0,9.0,14.0,7.0,7.0,11.0,13.0,11.0,13.0,11.0,12.0,11.0,10.0,13.0,5.0,9.0,12.0,9.0,7.0,11.0,9.0,10.0
