,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,569.0,2116.0,3437.0,4832.0,6246.0,7785.0,9125.0,10393.0,11866.0,13287.0,14804.0,16263.0,22074.0,17651.0,20301.0,19011.0,29316.0,30625.0,27713.0,23445.0,26372.0,24912.0,40238.0,41720.0,37686.0,36385.0,38961.0,45166.0,42804.0,44018.0,33740.0,34990.0,31918.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0
SAM_control,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
SAM_control,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0
thumbs_up_down,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
TLX_mental,0.0,0.0,0.0,0.0,0.0,16.0,15.0,16.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,16.0,18.0,14.0,15.0,15.0,15.0,15.0,0.0,12.0,12.0,12.0,12.0,18.0,19.0,16.0
TLX_physical,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,12.0,11.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,13.0,14.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,0.0,0.0,0.0,0.0,12.0,14.0,15.0,16.0,12.0,15.0,15.0,0.0,0.0,0.0,12.0,12.0,15.0,15.0,16.0,18.0,14.0,15.0,15.0,15.0,15.0,12.0,12.0,12.0,12.0,12.0,18.0,19.0,16.0
TLX_performance,19.0,19.0,19.0,19.0,19.0,11.0,11.0,13.0,8.0,4.0,8.0,19.0,19.0,19.0,19.0,19.0,8.0,4.0,1.0,13.0,14.0,13.0,5.0,5.0,0.0,19.0,19.0,19.0,19.0,19.0,13.0,11.0,15.0
TLX_effort,0.0,0.0,0.0,0.0,0.0,16.0,18.0,18.0,13.0,16.0,16.0,0.0,13.0,13.0,18.0,13.0,16.0,16.0,16.0,19.0,16.0,16.0,18.0,18.0,16.0,13.0,13.0,13.0,13.0,13.0,16.0,18.0,18.0
TLX_frustration,19.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,15.0,11.0,19.0,19.0,19.0,13.0,8.0,8.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0
TLX_enjoyment,10.0,14.0,19.0,14.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,14.0,12.0,10.0,5.0,10.0,5.0,10.0,13.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,8.0,8.0,4.0,8.0,10.0,15.0,16.0,16.0,13.0,14.0,15.0,8.0,10.0,10.0,14.0,13.0,15.0,13.0,12.0,17.0,15.0,16.0,13.0,12.0,11.0,13.0,11.0,15.0,15.0,15.0,17.0,17.0,17.0
