,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,742.0,2350.0,3607.0,4897.0,6149.0,7591.0,8635.0,9677.0,12049.0,13183.0,14308.0,15504.0,20832.0,16655.0,19654.0,18452.0,26976.0,28087.0,25619.0,21921.0,24557.0,23145.0,36627.0,37718.0,34282.0,33079.0,35443.0,40864.0,38843.0,39892.0,30610.0,31920.0,29441.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,vid_neutral,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,2.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,4.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,5.0,5.0
SAM_control,2.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0
SAM_control,4.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,5.0,2.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0
thumbs_up_down,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0
TLX_mental,2.0,0.0,0.0,4.0,4.0,7.0,12.0,14.0,13.0,17.0,19.0,12.0,1.0,13.0,2.0,17.0,4.0,19.0,17.0,19.0,19.0,15.0,12.0,15.0,17.0,2.0,6.0,13.0,5.0,4.0,18.0,19.0,11.0
TLX_physical,3.0,1.0,2.0,2.0,5.0,11.0,13.0,14.0,5.0,12.0,16.0,4.0,4.0,6.0,12.0,12.0,13.0,7.0,15.0,15.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,0.0,5.0,12.0,8.0,8.0,11.0,15.0,17.0,6.0,17.0,19.0,3.0,6.0,19.0,5.0,15.0,5.0,16.0,15.0,19.0,18.0,17.0,18.0,15.0,19.0,2.0,11.0,16.0,3.0,0.0,19.0,19.0,10.0
TLX_performance,18.0,18.0,0.0,15.0,14.0,8.0,11.0,5.0,16.0,11.0,1.0,15.0,16.0,11.0,15.0,14.0,13.0,4.0,14.0,15.0,6.0,10.0,3.0,18.0,16.0,14.0,13.0,9.0,5.0,16.0,0.0,11.0,19.0
TLX_effort,2.0,0.0,10.0,3.0,10.0,11.0,16.0,15.0,13.0,17.0,17.0,4.0,3.0,15.0,17.0,18.0,4.0,16.0,17.0,19.0,15.0,19.0,18.0,13.0,19.0,3.0,6.0,17.0,17.0,6.0,13.0,19.0,12.0
TLX_frustration,2.0,0.0,13.0,11.0,11.0,4.0,6.0,4.0,3.0,5.0,15.0,4.0,3.0,15.0,10.0,3.0,2.0,14.0,5.0,4.0,16.0,6.0,3.0,4.0,4.0,12.0,3.0,19.0,18.0,1.0,13.0,3.0,2.0
TLX_enjoyment,2.0,11.0,3.0,3.0,3.0,12.0,16.0,15.0,17.0,19.0,19.0,5.0,10.0,1.0,3.0,16.0,16.0,18.0,18.0,18.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,1.0,2.0,1.0,1.0,1.0,4.0,12.0,13.0,14.0,15.0,16.0,8.0,5.0,1.0,2.0,15.0,15.0,11.0,18.0,13.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,5.0,5.0,7.0,8.0,9.0,8.0,12.0,11.0,10.0,13.0,14.0,8.0,6.0,15.0,10.0,13.0,6.0,14.0,13.0,15.0,15.0,14.0,11.0,13.0,15.0,7.0,8.0,15.0,10.0,5.0,13.0,14.0,11.0
