,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,263.0,2051.0,3542.0,5087.0,6636.0,8328.0,9965.0,11221.0,12728.0,14301.0,15459.0,16924.0,22898.0,18827.0,21616.0,20346.0,30218.0,32053.0,28964.0,24164.0,27300.0,25686.0,44572.0,46810.0,38772.0,37500.0,39602.0,52943.0,48061.0,51774.0,34866.0,36139.0,33657.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,3.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0
SAM_control,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0
SAM_control,4.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,1.0,3.0,4.0,5.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0
thumbs_up_down,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0
TLX_mental,0.0,0.0,11.0,8.0,16.0,4.0,5.0,8.0,3.0,10.0,8.0,3.0,0.0,19.0,5.0,1.0,13.0,15.0,11.0,16.0,4.0,14.0,16.0,14.0,18.0,1.0,5.0,13.0,14.0,0.0,0.0,0.0,0.0
TLX_physical,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,0.0,10.0,12.0,13.0,12.0,2.0,2.0,6.0,12.0,17.0,10.0,0.0,0.0,19.0,3.0,1.0,13.0,12.0,16.0,12.0,8.0,15.0,16.0,16.0,17.0,2.0,9.0,13.0,16.0,0.0,0.0,0.0,0.0
TLX_performance,19.0,19.0,19.0,18.0,18.0,17.0,18.0,17.0,2.0,1.0,10.0,18.0,19.0,15.0,17.0,19.0,2.0,15.0,10.0,15.0,16.0,11.0,3.0,10.0,3.0,18.0,13.0,15.0,13.0,0.0,0.0,0.0,0.0
TLX_effort,0.0,0.0,3.0,3.0,11.0,3.0,5.0,8.0,11.0,19.0,11.0,1.0,0.0,19.0,4.0,1.0,16.0,16.0,16.0,15.0,11.0,19.0,18.0,18.0,14.0,0.0,9.0,11.0,16.0,0.0,0.0,0.0,0.0
TLX_frustration,1.0,0.0,11.0,15.0,19.0,0.0,0.0,1.0,10.0,16.0,10.0,12.0,1.0,18.0,6.0,0.0,15.0,12.0,8.0,2.0,5.0,6.0,15.0,11.0,17.0,0.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0
TLX_enjoyment,10.0,17.0,10.0,2.0,2.0,16.0,18.0,17.0,3.0,3.0,5.0,2.0,10.0,4.0,10.0,15.0,2.0,6.0,10.0,11.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,10.0,10.0,2.0,1.0,2.0,10.0,10.0,10.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,4.0,6.0,11.0,11.0,15.0,5.0,6.0,8.0,8.0,13.0,10.0,7.0,4.0,18.0,7.0,5.0,12.0,14.0,12.0,12.0,9.0,13.0,14.0,13.0,14.0,4.0,9.0,11.0,12.0,0.0,0.0,0.0,0.0
