,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,989.0,2664.0,3923.0,5149.0,6432.0,7901.0,9059.0,10095.0,11328.0,12716.0,14011.0,15318.0,20290.0,16495.0,19041.0,17738.0,26024.0,27056.0,24934.0,21366.0,23644.0,22506.0,35418.0,36946.0,32987.0,31789.0,34159.0,41145.0,39214.0,40194.0,29599.0,30906.0,28150.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,5.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0
SAM_control,4.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0
SAM_control,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
thumbs_up_down,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TLX_mental,16.0,7.0,15.0,15.0,16.0,19.0,19.0,19.0,18.0,16.0,15.0,15.0,7.0,16.0,7.0,3.0,12.0,11.0,18.0,19.0,15.0,19.0,16.0,14.0,12.0,0.0,7.0,7.0,7.0,7.0,16.0,16.0,18.0
TLX_physical,10.0,10.0,10.0,1.0,4.0,10.0,1.0,1.0,18.0,10.0,13.0,10.0,10.0,6.0,3.0,10.0,15.0,14.0,15.0,10.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,7.0,7.0,7.0,0.0,7.0,19.0,15.0,7.0,14.0,7.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,16.0,0.0,10.0,19.0,15.0,12.0,3.0,7.0,12.0,7.0,11.0,15.0,7.0,15.0,14.0
TLX_performance,10.0,0.0,10.0,10.0,13.0,2.0,2.0,12.0,17.0,2.0,15.0,16.0,10.0,10.0,10.0,10.0,17.0,19.0,3.0,6.0,16.0,15.0,17.0,15.0,0.0,10.0,10.0,10.0,15.0,10.0,13.0,15.0,16.0
TLX_effort,0.0,0.0,10.0,5.0,0.0,19.0,18.0,18.0,16.0,15.0,15.0,1.0,10.0,10.0,10.0,10.0,14.0,14.0,13.0,15.0,18.0,19.0,19.0,17.0,16.0,10.0,10.0,10.0,10.0,10.0,17.0,17.0,19.0
TLX_frustration,10.0,10.0,0.0,0.0,0.0,17.0,17.0,14.0,10.0,18.0,11.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,7.0,12.0,6.0,19.0,14.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,9.0,5.0,8.0,6.0,7.0,15.0,14.0,14.0,15.0,12.0,14.0,8.0,7.0,11.0,7.0,6.0,10.0,10.0,11.0,10.0,13.0,18.0,16.0,14.0,9.0,5.0,8.0,7.0,8.0,8.0,11.0,999.0,999.0
