,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,587.0,2362.0,3854.0,5349.0,6801.0,8365.0,9629.0,10992.0,12407.0,13934.0,15429.0,16940.0,22235.0,18394.0,20986.0,19739.0,28630.0,29732.0,27443.0,23553.0,26103.0,24778.0,38337.0,39510.0,35898.0,34620.0,37087.0,42954.0,40826.0,41919.0,32282.0,33407.0,30999.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
SAM_control,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0
SAM_control,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
thumbs_up_down,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
TLX_mental,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,12.0,19.0,14.0,5.0,5.0,10.0,7.0,7.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,12.0,12.0,7.0,5.0,2.0,0.0,5.0,10.0,7.0,7.0
TLX_physical,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,4.0,4.0,2.0,2.0,2.0,4.0,4.0,6.0,8.0,15.0,13.0,2.0,2.0,6.0,2.0,2.0,4.0,8.0,6.0,8.0,4.0,6.0,6.0,6.0,6.0,0.0,19.0,4.0,2.0,0.0,4.0,4.0,4.0
TLX_performance,10.0,10.0,10.0,10.0,10.0,5.0,10.0,5.0,5.0,14.0,0.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,0.0,14.0,14.0,14.0,10.0,19.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0,5.0
TLX_effort,0.0,1.0,1.0,1.0,1.0,15.0,15.0,16.0,16.0,18.0,19.0,1.0,1.0,3.0,1.0,1.0,16.0,16.0,18.0,16.0,15.0,16.0,18.0,16.0,16.0,1.0,1.0,3.0,12.0,1.0,16.0,15.0,15.0
TLX_frustration,14.0,14.0,14.0,19.0,10.0,19.0,14.0,10.0,5.0,0.0,14.0,14.0,14.0,19.0,0.0,14.0,14.0,10.0,5.0,19.0,14.0,10.0,5.0,5.0,0.0,0.0,10.0,19.0,19.0,5.0,10.0,10.0,14.0
TLX_enjoyment,11.0,11.0,11.0,9.0,11.0,10.0,11.0,12.0,12.0,14.0,11.0,11.0,11.0,10.0,12.0,10.0,11.0,11.0,12.0,9.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,12.0,10.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,7.0,7.0,6.0,7.0,5.0,9.0,10.0,9.0,9.0,13.0,12.0,6.0,6.0,9.0,4.0,7.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,4.0,9.0,8.0,8.0,4.0,11.0,10.0,9.0
