,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,230.0,1828.0,3107.0,4432.0,5751.0,7564.0,9980.0,11112.0,12470.0,13713.0,15036.0,16275.0,21109.0,17531.0,19982.0,18768.0,27332.0,28415.0,26126.0,22168.0,24559.0,23335.0,38757.0,35257.0,34187.0,36435.0,1.0,1.0,1.0,31350.0,32383.0,1.0,38757.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0
SAM_control,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
SAM_control,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
thumbs_up_down,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
TLX_mental,1.0,1.0,15.0,3.0,6.0,15.0,18.0,19.0,15.0,18.0,4.0,1.0,3.0,16.0,1.0,1.0,16.0,13.0,16.0,16.0,15.0,16.0,13.0,16.0,18.0,1.0,3.0,6.0,1.0,1.0,999.0,999.0,999.0
TLX_physical,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,1.0,3.0,13.0,13.0,13.0,16.0,18.0,19.0,15.0,19.0,12.0,3.0,3.0,15.0,1.0,3.0,15.0,15.0,18.0,18.0,15.0,16.0,13.0,16.0,19.0,1.0,4.0,6.0,1.0,1.0,999.0,999.0,999.0
TLX_performance,12.0,12.0,12.0,12.0,12.0,16.0,14.0,11.0,10.0,8.0,19.0,12.0,12.0,12.0,12.0,12.0,14.0,11.0,10.0,8.0,12.0,11.0,14.0,16.0,14.0,12.0,12.0,12.0,12.0,12.0,999.0,999.0,999.0
TLX_effort,1.0,1.0,1.0,1.0,4.0,16.0,19.0,18.0,16.0,18.0,6.0,1.0,3.0,15.0,1.0,1.0,16.0,12.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,1.0,3.0,6.0,1.0,1.0,999.0,999.0,999.0
TLX_frustration,12.0,12.0,12.0,15.0,10.0,14.0,15.0,14.0,11.0,15.0,12.0,10.0,15.0,19.0,12.0,12.0,14.0,14.0,15.0,15.0,14.0,15.0,12.0,12.0,15.0,12.0,16.0,18.0,8.0,12.0,999.0,999.0,999.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,6.0,6.0,11.0,9.0,9.0,15.0,17.0,16.0,13.0,15.0,11.0,6.0,7.0,15.0,6.0,6.0,15.0,13.0,15.0,15.0,14.0,15.0,13.0,15.0,16.0,6.0,8.0,9.0,5.0,6.0,999.0,999.0,999.0
