,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,691.0,1998.0,3129.0,4225.0,5306.0,6569.0,7609.0,8559.0,9707.0,11109.0,11728.0,12736.0,17212.0,13847.0,16031.0,14898.0,22684.0,23704.0,21759.0,18394.0,20589.0,19554.0,30656.0,31573.0,28604.0,27590.0,29626.0,34386.0,32551.0,33534.0,25707.0,26559.0,24550.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0
SAM_control,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0
SAM_control,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
thumbs_up_down,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0
TLX_mental,4.0,3.0,13.0,3.0,7.0,18.0,16.0,19.0,19.0,13.0,4.0,6.0,4.0,13.0,13.0,7.0,6.0,3.0,6.0,15.0,9.0,12.0,0.0,7.0,4.0,4.0,9.0,6.0,3.0,7.0,10.0,9.0,13.0
TLX_physical,4.0,11.0,11.0,3.0,11.0,15.0,18.0,16.0,19.0,16.0,16.0,11.0,11.0,16.0,6.0,15.0,5.0,0.0,4.0,14.0,8.0,9.0,0.0,13.0,5.0,0.0,11.0,11.0,3.0,4.0,11.0,9.0,11.0
TLX_temporal,16.0,15.0,9.0,13.0,9.0,16.0,18.0,18.0,3.0,16.0,19.0,9.0,15.0,9.0,13.0,15.0,19.0,18.0,12.0,13.0,13.0,16.0,19.0,0.0,18.0,1.0,12.0,9.0,3.0,16.0,4.0,18.0,15.0
TLX_performance,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_effort,5.0,6.0,3.0,2.0,8.0,19.0,16.0,17.0,13.0,17.0,6.0,8.0,13.0,5.0,10.0,6.0,5.0,0.0,14.0,13.0,13.0,5.0,0.0,8.0,5.0,2.0,6.0,5.0,5.0,5.0,10.0,8.0,5.0
TLX_frustration,12.0,3.0,0.0,0.0,12.0,12.0,12.0,8.0,14.0,7.0,4.0,7.0,7.0,18.0,8.0,5.0,3.0,0.0,8.0,8.0,8.0,5.0,16.0,14.0,5.0,15.0,7.0,19.0,18.0,4.0,18.0,7.0,4.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,8.0,8.0,7.0,4.0,10.0,16.0,16.0,16.0,13.0,14.0,10.0,8.0,10.0,12.0,10.0,10.0,7.0,4.0,9.0,13.0,10.0,9.0,7.0,8.0,7.0,4.0,9.0,10.0,6.0,7.0,11.0,10.0,10.0
