,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,2119,5106,5960,19133,11585,16205,8336,9410,3370,12577,7308,14709,17285,18125,135,28614,20520,27715,26866,31866,23508,24716,25708,22268,29819,32981,33874,34766,35688,30726
Duration,300,170,610,670,300,760,310,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,310,610,300,300,300,310,300,490
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,3,3,3,4,3,3,4,2,4,2,4,4,2,2,4,4,4,3,4,2,2,3,3,3,2,3,3,3,3
SAM_control,3,2,3,2,3,2,2,3,2,4,2,4,4,3,4,4,3,3,4,3,2,2,4,3,4,2,4,2,3,4
thumbs_up_down,2,1,3,1,3,2,1,3,1,3,1,3,3,2,3,3,3,3,2,3,1,1,3,3,3,1,3,1,3,2
TLX_mental,4,2,4,1,3,1,3,5,1,4,4,4,4,4,5,4,4,3,5,3,1,2,5,3,3,2,4,3,3,3
TLX_temporal,4,3,4,5,4,3,3,4,2,3,5,4,5,5,5,3,4,3,3,3,1,2,5,2,3,2,3,5,3,5
TLX_frustration,3,4,4,5,1,5,4,4,4,1,4,4,3,4,4,2,4,3,5,3,5,4,3,2,4,5,4,5,3,4
TLX_enjoyment,5,4,5,1,5,3,3,5,3,7,2,5,5,4,4,6,5,5,3,5,2,3,5,4,5,2,5,3,4,4
closeness,2,4,2,4,2,3,4,2,2,2,3,2,2,3,2,2,2,2,4,2,4,3,1,2,3,4,2,4,2,3
inspired,4,4,2,4,2,3,4,2,4,2,3,3,2,4,4,2,3,2,4,2,4,3,2,2,2,4,2,4,2,3
attachment,3,4,2,4,3,3,4,2,3,2,3,3,2,4,2,2,2,3,4,2,4,3,2,2,3,4,3,4,3,3
competition,4,4,3,4,2,3,3,2,4,2,3,3,3,4,2,2,2,3,3,2,4,3,2,2,3,4,3,4,3,2
recommend,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1
