,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,763,2064,3137,4413,6023,6989,8397,9623,11655,13094,14322,15177,16123,17285,18097,19039,20299,22004,22966,23820,24955,25714,26502,27569,28601,29454,30259,31083,31864,32659
Duration,300,170,610,670,300,760,300,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,170
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,3,5,4,3,5,3,4,4,5,1,3,4,1,2,3,5,4,2,3,4,2,5,4,4,3,2,3,3,3
SAM_control,2,1,3,3,2,3,1,2,2,2,1,1,1,1,1,1,2,1,1,1,3,1,2,2,1,1,1,1,1,1
thumbs_up_down,3,2,3,3,2,3,2,3,3,3,1,2,2,1,2,3,3,2,1,2,3,1,3,3,2,2,1,2,2,2
TLX_mental,1,2,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
TLX_temporal,1,1,2,4,1,1,3,1,2,1,1,4,1,1,1,1,3,1,5,1,1,4,1,1,1,1,5,2,3,1
TLX_frustration,1,3,1,1,2,1,1,1,1,1,2,2,1,5,2,1,1,1,3,1,1,2,1,1,1,1,3,1,2,2
TLX_enjoyment,5,1,7,5,1,6,1,4,2,6,1,1,2,1,1,2,7,3,1,1,5,1,6,4,3,2,1,1,1,1
closeness,2,4,1,3,3,2,3,2,3,2,4,4,3,5,3,3,2,3,5,3,2,4,2,3,2,4,4,3,4,4
inspired,3,4,3,2,4,3,4,2,3,2,5,4,3,5,4,3,1,3,5,3,2,4,3,3,3,4,4,3,4,4
attachment,2,4,2,3,4,2,3,2,3,2,5,4,3,5,4,3,2,3,5,3,2,4,2,3,3,4,4,3,4,4
competition,3,3,1,3,3,3,3,2,3,2,4,4,3,5,3,3,2,3,4,4,2,4,2,3,3,3,4,3,4,3
recommend,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2
