,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,804,2269,3252,4780,6150,7018,8492,9383,11571,13193,14403,15327,16250,17434,18345,19331,20473,22213,23036,23839,24662,25766,26565,27619,28708,29697,30457,31201,32151,33009
Duration,300,170,610,670,300,760,300,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,170
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,4,5,4,5,5,4,5,3,5,3,3,4,2,4,4,5,4,3,2,5,2,5,4,3,3,4,2,3,4
SAM_control,3,4,4,4,5,5,3,4,3,4,2,3,3,2,3,4,5,3,3,2,5,2,5,4,3,3,3,2,3,3
thumbs_up_down,2,3,3,3,3,3,2,3,2,3,1,2,3,1,2,3,3,3,2,1,3,1,3,3,2,2,2,1,2,3
TLX_mental,2,2,6,4,1,4,2,4,4,2,2,4,2,1,2,4,2,1,2,2,2,2,2,2,2,4,1,1,2,2
TLX_temporal,1,5,3,4,4,4,3,1,4,2,5,4,2,3,2,3,2,3,2,2,2,2,2,2,3,4,1,3,5,2
TLX_frustration,2,1,1,2,1,5,3,1,4,2,5,4,2,5,2,1,1,1,2,2,2,4,2,2,1,4,1,5,3,2
TLX_enjoyment,4,5,4,5,7,7,4,5,4,7,1,4,5,3,5,5,7,4,4,2,6,2,7,6,4,4,6,1,2,6
closeness,3,2,3,2,1,4,3,1,3,1,4,3,2,4,2,2,2,2,3,4,2,4,2,2,3,3,2,4,3,2
inspired,3,3,3,2,1,4,3,1,3,1,4,3,2,5,2,3,2,3,3,4,2,4,2,3,3,3,2,4,3,3
attachment,3,3,3,2,1,4,3,1,3,1,5,3,3,5,2,3,2,3,4,4,2,5,2,3,3,3,3,4,3,2
competition,3,2,3,2,1,3,3,1,3,1,3,3,2,5,2,3,2,3,4,4,2,5,2,3,3,3,2,4,3,2
recommend,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1
