,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,449,1972,3088,4457,5910,7012,8731,9703,11668,13243,14445,15423,16912,18099,19022,19880,21086,22910,23747,24554,25529,26645,27748,28957,30067,30951,31788,32605,33426,34311
Duration,300,170,610,670,300,760,300,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,170
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,5,2,5,3,4,5,5,5,3,5,3,3,5,1,3,4,5,4,4,3,4,3,4,5,3,3,3,4,3,5
SAM_control,3,1,4,4,3,5,3,4,2,5,3,3,4,1,2,3,4,4,3,1,4,2,3,5,2,3,2,3,1,3
thumbs_up_down,3,1,3,1,3,3,3,3,2,3,2,3,3,1,2,3,3,3,2,1,3,1,3,3,1,3,1,3,2,3
TLX_mental,3,1,2,5,3,3,2,5,6,2,5,6,4,3,5,5,5,4,3,1,5,4,3,1,3,2,5,3,5,5
TLX_temporal,1,6,2,5,1,1,4,2,5,1,6,5,2,6,7,5,1,4,6,3,2,4,1,1,7,4,7,2,5,4
TLX_frustration,2,6,1,5,2,1,1,1,5,1,6,4,1,7,4,4,1,3,2,4,1,6,4,1,4,4,5,2,5,5
TLX_enjoyment,4,1,6,5,5,7,6,7,3,6,1,3,6,1,3,5,7,6,5,1,5,1,5,7,2,5,2,6,1,5
closeness,3,4,2,4,4,5,2,2,3,4,3,4,2,5,4,2,1,4,5,2,2,4,4,3,4,4,4,4,4,4
inspired,3,4,2,4,4,3,2,2,4,2,4,4,2,5,4,2,1,5,5,3,1,5,4,2,4,4,5,4,4,4
attachment,3,3,2,4,5,4,3,3,4,3,4,4,2,5,5,2,1,4,5,3,2,5,4,3,4,4,5,4,4,5
competition,2,3,2,4,4,5,2,2,3,4,3,3,2,5,5,2,1,4,5,2,2,5,4,2,4,2,5,2,2,3
recommend,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2
