,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,1262,3693,4418,15929,9146,12583,6396,7247,2182,10179,5516,11423,14003,15103,174,24309,17115,23504,22730,27169,19777,20858,21625,18749,25376,27883,28611,29743,30551,26223
Duration,300,170,610,670,300,760,310,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,490
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,4,3,4,5,4,4,5,3,4,3,5,4,2,4,5,5,4,4,5,3,4,5,4,4,3,4,3,4,3
SAM_control,4,2,2,3,3,2,4,5,2,4,1,3,4,1,4,5,4,3,3,5,2,3,4,3,3,3,4,3,4,3
thumbs_up_down,3,3,2,3,3,2,3,3,2,2,2,3,3,1,3,3,3,3,3,3,1,2,3,2,3,2,3,2,3,2
TLX_mental,5,3,3,2,5,4,4,6,3,3,6,4,5,1,5,6,4,5,3,6,6,3,5,4,5,4,4,5,3,3
TLX_temporal,4,2,3,4,1,3,3,6,3,3,4,1,2,2,2,2,2,2,1,1,5,2,2,2,2,2,2,4,3,2
TLX_frustration,1,1,5,1,1,2,1,5,4,1,3,1,2,2,1,1,2,2,1,2,3,2,2,2,5,4,2,3,2,2
TLX_enjoyment,6,6,4,6,7,5,6,7,3,7,3,6,5,2,6,7,6,5,5,7,2,5,6,4,5,4,6,5,6,4
closeness,2,1,3,2,1,3,2,1,4,3,3,2,2,4,2,1,2,2,3,1,4,3,2,3,3,3,3,3,3,3
inspired,2,2,3,2,1,4,1,1,2,2,3,2,3,5,2,1,2,2,3,1,4,3,2,3,3,3,3,3,2,3
attachment,3,2,3,3,1,4,2,1,4,4,4,3,2,4,3,1,3,3,3,2,4,3,3,3,3,3,3,3,3,3
competition,2,2,3,2,2,2,2,1,3,4,4,2,2,4,2,1,2,2,2,1,4,3,2,3,3,3,2,3,2,3
recommend,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2
