,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,702,2355,3521,4916,6170,7100,8497,9543,11501,13111,14256,15156,16217,17359,18146,19093,20301,22073,22958,23798,24650,25778,26651,27880,28922,29679,30482,31312,32190,32966
Duration,300,170,610,670,300,760,300,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,170
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,5,3,5,5,3,5,2,5,3,5,3,3,4,1,4,5,5,5,3,3,5,3,5,4,4,3,2,3,3,3
SAM_control,1,2,5,4,3,5,1,5,2,5,1,1,3,1,2,5,5,4,1,2,4,2,5,3,2,1,1,2,2,1
thumbs_up_down,3,2,3,3,3,3,1,3,2,3,2,1,3,1,2,3,3,3,1,2,3,2,3,3,2,2,1,2,2,2
TLX_mental,4,2,6,6,4,6,4,7,3,5,2,2,4,2,3,6,6,6,4,3,6,4,6,6,3,3,3,3,3,3
TLX_temporal,4,3,6,7,4,7,2,4,2,4,2,2,4,2,3,6,7,6,4,2,6,4,6,3,3,3,2,3,3,3
TLX_frustration,1,4,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
TLX_enjoyment,4,2,7,7,3,7,1,7,3,7,4,2,5,1,3,7,7,7,3,2,7,5,7,4,3,3,1,4,4,4
closeness,2,3,1,2,1,1,2,1,3,1,2,4,1,4,3,2,1,2,3,3,1,3,1,3,2,3,4,3,3,3
inspired,4,3,1,1,3,1,4,1,3,1,4,4,2,4,3,1,1,2,4,4,1,2,2,3,2,2,4,2,3,3
attachment,4,4,1,2,1,1,2,1,2,1,3,4,2,4,3,3,1,2,3,3,2,3,2,3,2,3,4,2,3,3
competition,2,3,1,1,1,1,2,1,3,1,4,4,2,4,2,2,1,2,4,4,2,3,2,3,2,2,3,3,3,3
recommend,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1
