,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,1654,4413,5257,16891,10650,13659,7579,8601,2840,11562,6567,12770,14871,16096,211,25247,18057,24496,23741,27985,20855,21937,22721,19763,26318,28652,29453,30115,30802,27146
Duration,300,170,610,670,300,760,310,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,490
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,3,4,3,5,3,4,5,3,5,3,5,5,3,4,5,4,5,3,4,3,3,3,3,4,3,3,3,3,3
SAM_control,4,1,3,3,3,3,4,3,3,4,3,5,5,3,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3
thumbs_up_down,3,2,3,1,3,2,3,3,2,3,2,3,3,2,3,3,3,3,2,3,1,2,2,2,3,1,1,1,1,1
TLX_mental,5,1,5,2,2,4,3,4,2,3,3,2,3,3,3,4,3,3,2,3,2,2,2,2,3,2,2,2,2,2
TLX_temporal,6,1,5,4,4,4,2,4,2,3,3,3,3,3,3,4,3,3,2,3,2,2,2,2,3,2,2,2,2,2
TLX_frustration,4,2,3,4,1,3,2,3,4,1,3,2,3,3,3,2,3,2,4,3,5,2,2,2,3,2,2,2,2,2
TLX_enjoyment,5,3,5,4,6,2,6,5,4,7,3,7,6,3,5,7,5,7,4,5,1,4,5,3,5,2,2,2,2,3
closeness,2,2,1,2,4,3,2,1,5,5,1,1,4,5,2,1,2,1,3,5,5,4,2,2,2,5,5,5,4,2
inspired,3,3,1,3,4,4,3,2,5,5,2,3,4,5,2,2,2,1,3,5,5,4,2,1,2,5,5,5,4,2
attachment,4,4,2,2,4,4,2,2,5,4,2,2,4,5,1,2,2,1,3,5,5,4,2,1,2,5,5,5,4,2
competition,4,1,1,2,2,2,2,1,5,5,1,1,3,4,1,2,3,1,4,5,5,4,4,3,2,5,4,5,4,1
recommend,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1
