,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,225,1370,2466,3768,5443,6891,8354,9142,11497,14070,14839,15722,16753,17505,18213,19249,20892,21776,22608,23430,24469,25175,26193,27228,27769,27923,28664,29457,30138,30992
Duration,300,170,610,670,300,760,300,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,170
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,3,5,4,4,4,4,5,4,4,3,4,5,3,5,4,5,4,4,4,5,4,5,5,4,3,3,4,4,4
SAM_control,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
thumbs_up_down,3,1,3,3,2,2,3,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,2
TLX_mental,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TLX_temporal,4,5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TLX_frustration,1,3,1,1,2,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
TLX_enjoyment,5,4,6,5,3,6,5,5,6,6,3,4,5,2,6,5,7,6,5,5,6,5,6,6,5,4,3,5,4,4
closeness,2,3,2,2,3,2,2,2,2,2,3,3,2,4,2,2,1,2,3,2,2,2,2,1,1,2,2,2,2,3
inspired,3,3,2,2,3,2,2,2,2,2,3,3,1,4,2,2,1,2,3,2,1,2,2,2,1,2,3,2,3,3
attachment,3,3,2,2,2,2,2,2,2,2,3,2,1,4,2,2,1,2,3,2,2,2,1,2,1,2,3,2,2,3
competition,3,3,2,2,3,2,2,2,2,2,3,3,1,3,2,2,1,2,2,2,2,2,1,2,1,2,3,2,3,3
recommend,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
