,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,679,2385,3592,5295,7214,8631,10492,11579,13844,15612,17142,18323,19368,20887,21964,23361,24695,26487,27994,29037,30068,31484,32449,34312,35860,37096,38191,39161,40217,41540
Duration,300,170,610,670,300,760,300,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,170
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,2,4,3,3,4,4,5,3,5,2,3,5,2,3,4,5,4,2,3,4,3,4,5,3,4,3,3,3,4
SAM_control,3,2,3,4,3,4,3,3,3,3,3,3,4,2,3,3,4,3,2,3,3,3,4,4,3,4,3,3,3,3
thumbs_up_down,2,1,3,2,2,3,3,3,2,3,1,2,3,2,2,3,3,2,1,2,3,2,3,3,2,3,2,2,3,3
TLX_mental,4,3,4,4,3,5,4,5,3,5,3,4,4,3,4,4,5,4,3,4,5,4,4,5,5,5,4,5,5,4
TLX_temporal,4,4,4,5,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,4
TLX_frustration,1,3,2,2,3,1,2,3,4,3,5,4,1,5,4,2,2,3,6,4,2,3,2,1,3,2,2,2,2,1
TLX_enjoyment,5,3,5,6,4,6,5,5,3,6,3,3,7,3,3,5,6,5,3,3,5,4,6,7,4,5,4,4,4,6
closeness,3,4,3,3,4,3,2,2,4,4,3,3,2,4,4,3,2,4,4,4,3,3,3,2,3,3,3,3,3,2
inspired,4,4,2,3,4,3,2,1,3,4,3,3,2,3,4,2,2,4,4,4,3,3,2,2,2,3,4,3,2,1
attachment,3,4,3,3,4,4,2,2,4,4,3,3,2,3,4,2,2,4,4,4,4,3,3,2,3,3,4,3,4,1
competition,3,4,2,4,3,2,2,1,4,2,2,3,1,3,3,2,2,5,4,5,2,3,2,2,3,2,3,3,3,2
recommend,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1
